data,temperatura_obs,precipitacao_obs,temperatura_eta,precipitacao_eta,temperatura_brams,precipitacao_brams,temperatura_wrf,precipitacao_wrf
2023-12-20,25.07916667,0,25.65,1.2,26.71,0,24.15,0
2023-12-21,26.675,0.2,21.98,0,27.22,4,24.96,0
2023-12-22,26.93333333,0,26.91,4.2,24.35,13,25.26,4
2023-12-23,25.55789474,0,25.45,1.2,24.5,26.9,24.24,13.2
2023-12-24,24.81666667,0,25.9,14.5,23.95,25,26.12,0.6
2023-12-25,28.15,0,27.15,0.1,25,2.5,26.12,9.4
2023-12-26,27.325,0,27.16,9.3,25.92,2.6,24.75,41.5
2023-12-27,24.9125,0,26.65,4.6,24.44,0.7,25.33,0
2023-12-28,25.975,0,24.42,9.6,21.51,0,21.19,0
2023-12-29,29.20833333,0,21.35,0,24.16,0,23.96,0
2023-12-30,24.77916667,0.2,27.35,5.3,27.57,5,25.35,21.4
2023-12-31,24.0625,0,24.88,24.1,23.47,7.7,22.92,9.4
2024-01-01,NA,NA,20.72,0,22.82,6.2,23.38,9.8
2024-01-02,NA,NA,27.75,37.6,22.88,0,22.08,0
2024-01-03,NA,NA,21.09,0.7,23.12,0,20.4,1.1
2024-01-04,NA,NA,22.93,0,22.74,1,24.56,4.7
2024-01-05,NA,NA,21.88,0.4,23.57,2.5,21.59,8.3
2024-01-06,NA,NA,23.31,0,21.53,0,22.81,0.9
2024-01-07,NA,NA,26.3,0,NA,NA,NA,NA
2024-01-08,NA,NA,27.68,0,NA,NA,NA,NA
2024-01-09,NA,NA,28.71,0.9,NA,NA,NA,NA
2024-01-10,NA,NA,27.85,0,NA,NA,NA,NA
2024-01-11,NA,NA,28.8,0,NA,NA,NA,NA
